region,year_month,ts,stressor,E,C,R,label
Geoje,2025_01,2025-01-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2025_02,2025-02-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2025_03,2025-03-01,sst,1.6666666666666667,2.0,2.6034165586355518,2
Geoje,2025_04,2025-04-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2025_05,2025-05-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2025_06,2025-06-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2025_07,2025-07-01,sst,2.3333333333333335,1.0,2.5385910352879697,2
Geoje,2025_08,2025-08-01,sst,3.0,1.0,3.1622776601683795,3
Geoje,2025_09,2025-09-01,sst,3.0,1.0,3.1622776601683795,3
Geoje,2025_10,2025-10-01,sst,2.3333333333333335,1.0,2.5385910352879697,2
Geoje,2025_11,2025-11-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2025_12,2025-12-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2026_01,2026-01-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2026_02,2026-02-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2026_03,2026-03-01,sst,1.6666666666666667,2.0,2.6034165586355518,2
Geoje,2026_04,2026-04-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2026_05,2026-05-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2026_06,2026-06-01,sst,1.6666666666666667,1.0,1.9436506316151003,2
Geoje,2026_07,2026-07-01,sst,2.3333333333333335,1.0,2.5385910352879697,2
Geoje,2026_08,2026-08-01,sst,3.0,1.0,3.1622776601683795,3
Geoje,2026_09,2026-09-01,sst,3.0,1.0,3.1622776601683795,3
Geoje,2026_10,2026-10-01,sst,2.3333333333333335,2.0,3.0731814857642963,3
Geoje,2026_11,2026-11-01,sst,1.6666666666666667,2.0,2.6034165586355518,2
