year_month,region,sst,salinity,species,elnino_index,phase,o2,ph
2016_01,Geoje,12.34280914,33.8,23.0,2.2,ElNiNo,248.85793,8.1514435
2016_01,Incheon,3.930725806,25.0,31.0,2.2,ElNiNo,277.25253,8.182475
2016_01,Ulleungdo,12.26987903,33.1,39.0,2.2,ElNiNo,264.79077,8.169613
2016_02,Geoje,11.19357766,33.9,21.0,1.9,ElNiNo,261.16916,8.150358
2016_02,Incheon,2.482052402,26.5,35.0,1.9,ElNiNo,291.44675,8.1943655
2016_02,Ulleungdo,10.66682471,33.1,59.0,1.9,ElNiNo,274.29132,8.176606
2016_03,Geoje,11.69647849,33.7,11.0,1.5,ElNiNo,269.16602,8.150325
2016_03,Incheon,5.451182796,29.4,62.0,1.5,ElNiNo,296.02982,8.18323
2016_03,Ulleungdo,9.693642473,32.6,117.0,1.5,ElNiNo,286.77884,8.184391
2016_04,Geoje,13.74878698,33.6,19.0,1.1,ElNiNo,259.99985,8.123595
2016_04,Incheon,10.63913889,31.1,23.0,1.1,ElNiNo,283.4787,8.142656
2016_04,Ulleungdo,13.10769444,33.6,48.0,1.1,ElNiNo,290.19098,8.177307
2016_05,Geoje,16.10125344,33.5,23.0,0.6,ElNiNo,245.78064,8.084651
2016_05,Incheon,15.74346099,30.2,97.0,0.6,ElNiNo,263.67105,8.085471
2016_05,Ulleungdo,15.68037736,33.6,115.0,0.6,ElNiNo,272.58994,8.127103
2016_06,Geoje,18.372125,33.6,117.0,0.1,Neutral,228.60422,8.034113
2016_06,Incheon,20.84823611,30.7,58.0,0.1,Neutral,239.21036,8.007589
2016_06,Ulleungdo,19.65831944,33.4,92.0,0.1,Neutral,249.20128,8.063915
2016_07,Geoje,20.9196477,32.2,70.0,-0.3,Neutral,215.74086,7.998791
2016_07,Incheon,23.81698347,28.9,164.0,-0.3,Neutral,222.79276,7.9824986
2016_07,Ulleungdo,22.95388441,32.8,158.0,-0.3,Neutral,232.58186,8.028847
2016_08,Geoje,26.8528591,30.9,96.0,-0.5,LaNiNa,204.70082,7.9839835
2016_08,Incheon,27.3214965,29.5,131.0,-0.5,LaNiNa,212.97757,7.975452
